ronda,node,http_code,tcp_connect_ms,tls_handshake_ms,after_tls_ms,total_ms
1,idm2,200,2.717,8.133,4.903,15.865
2,idm1,200,2.313,7.347,4.669,14.484
3,idm2,200,1.894,7.505,5.007,14.578
4,idm1,200,3.267,9.917,5.024,18.355
5,idm2,200,2.419,10.768,7.345,20.666
6,idm1,200,2.263,10.697,4.911,17.978
7,idm2,200,2.291,7.654,5.513,15.584
8,idm1,200,2.066,7.677,4.103,13.938
9,idm2,200,1.941,9.423,5.163,16.643
10,idm1,200,2.541,6.571,4.481,13.722
11,idm2,200,2.368,7.957,4.796,15.228
12,idm1,200,1.726,8.640,4.314,14.786
13,idm2,200,2.508,10.416,6.621,19.676
14,idm1,200,2.288,6.635,4.416,13.438
15,idm2,200,2.160,8.808,5.649,16.733
16,idm1,200,2.403,6.693,4.126,13.348
17,idm2,200,2.195,8.790,5.840,16.921
18,idm1,200,2.302,5.858,4.603,12.880
19,idm2,200,2.369,7.307,4.689,14.497
20,idm1,200,2.521,7.786,4.799,15.257
21,idm2,200,1.806,8.739,5.842,16.526
22,idm1,200,2.245,5.933,4.320,12.653
23,idm2,200,2.275,7.388,5.534,15.335
24,idm1,200,1.567,8.808,4.672,15.299
25,idm2,200,2.408,8.274,4.242,15.027
26,idm1,200,2.123,6.515,3.660,12.414
27,idm2,200,2.289,8.596,5.278,16.273
28,idm1,200,2.419,7.060,3.933,13.529
29,idm2,200,2.872,7.922,5.455,16.349
30,idm1,200,2.286,8.784,4.693,15.866
31,idm2,200,1.786,8.326,6.663,16.919
32,idm1,200,2.105,7.353,5.034,14.586
33,idm2,200,1.719,8.729,5.193,15.776
34,idm1,200,2.636,7.618,4.777,15.153
35,idm2,200,2.892,7.732,5.065,15.788
36,idm1,200,1.823,6.735,3.909,12.580
37,idm2,200,3.027,8.318,4.605,16.086
38,idm1,200,2.716,7.271,5.033,15.135
39,idm2,200,2.362,7.471,5.299,15.236
40,idm1,200,1.773,7.161,4.138,13.194
41,idm2,200,2.343,9.026,4.067,15.578
42,idm1,200,2.781,7.846,4.544,15.289
43,idm2,200,2.226,8.786,4.423,15.801
44,idm1,200,2.315,9.936,4.705,17.061
45,idm2,200,2.647,9.101,4.236,16.087
46,idm1,200,3.259,6.932,3.928,14.456
47,idm2,200,2.251,8.307,5.428,16.096
48,idm1,200,2.546,6.977,4.357,13.986
49,idm2,200,1.768,8.197,4.682,14.750
50,idm1,200,2.717,8.356,4.494,15.800
